"Date","Share_Price","Shares_outstanding","Market_cap","Revenue","Net_Income","Earned_per_share","BookValue","BookValue_per_share","CurrentAssetValuePerShare","Current_Asset_Value","Cash_Asset_Value","Cash_Asset_ValuePerShare","Total_Assets","Equity","Working_capital","Total_Liabilities","EBIDTA","Interest","Dividends","Company_name"
2015-12-30,1.75,19514647,34150632.25,760704919.1,1136450.07,0.0582357482561688,75889961.61,3.88887186173544,-1.99255307513377,-38883969.89,-200660819.47,-10.2825749023285,287422582.84,76805416.96,5523829.99,209883593.52,6810325.18,14559162.52,0,"BOWIM"
2016-12-30,4.09,19514647,79814906.23,819972915.25,21662751.23,1.11007650971089,92419663.14,4.73591262706418,-1.56569551065925,-30553995.2,-259720079.64,-13.3089816915469,363565558.89,94090489.87,51567320.32,268653816.59,43975959.15,19691335.62,0,"BOWIM"
2017-12-29,3.89,19514647,75911976.83,1127696641.67,18774144.87,0.962054034080145,96420343.48,4.94092173330114,-1.80596756836032,-35242819.59,-286232724.4,-14.6675840152271,395637575.5,98817792.76,65441672.84,295932340.74,39533570.06,22026378.84,1833060.7,"BOWIM"
2018-12-28,2.77,19514647,54055572.19,1366721949.46,11427008.45,0.585560602249172,102802050.1,5.26794310447942,-2.1812129207359,-42565600.18,-372285661.69,-19.0772429391113,481772913.97,105933118.79,69374593.93,374840442.2,32609879.8,24816841.39,1795008.7,"BOWIM"
2019-12-30,1.8,19514647,35126364.6,1302963845.9,3195028.63,0.163724643853409,100037007.35,5.12625246821016,-2.94503911959053,-57471398.82,-303344114.94,-15.5444325967054,413872636.66,104824847.19,71584226.28,308082442.77,15527159.84,20739710.86,530066.01,"BOWIM"
2020-12-30,3.16,19514647,61666284.52,1205732369.89,17532313.81,0.898418188655936,111327701.65,5.70482784802615,-2.31081942399471,-45094825.34,-291743251.49,-14.9499630451937,419158728.32,118607300.72,69545934.41,299244399.04,28268294.03,18793773.68,0,"BOWIM"
2021-12-30,8.08,19514647,157678347.76,2258542894.04,153338621,7.85761694792634,258436345.27,13.243198571309,4.89475818138038,95519478.06,-396310475.19,-20.3083599303641,676396141.89,266143987.59,200531140.2,407300263.69,228104502.32,37083653.23,2061861.24,"BOWIM"
2015-12-30,299,6725000,2010775000,3131693000,227234000,33.7894423791822,2271465000,337.764312267658,103.543940520446,696333000,-220822000,-32.8359851301115,3305746000,2049903000,787824000,932487000,291552000,20006000,13663000,"STALPRODUKT_SA"
2016-12-30,525,5580267,2929640175,3140935000,345254000,61.870516231571,2181093000,390.858179366686,99.5065289886667,555273000,-636173000,-114.004043175712,3718971000,1936754000,731619000,1440112000,412869000,23825000,18153000,"STALPRODUKT_SA"
2017-12-29,504.5,5580267,2815244701.5,3501090000,275428000,49.3574949012296,2459408000,440.733033025122,151.479131733302,845294000,-84587000,-15.1582352600691,3937757000,2235668000,1017190000,1370306000,359614000,40924000,24382000,"STALPRODUKT_SA"
2018-12-28,320,5580267,1785685440,3956688000,284652000,51.0104624026055,2967069000,531.70735378791,211.823556112996,1182032000,-114621000,-20.5404150016478,4357371000,2699840000,1298552000,1243137000,299847000,20007000,24460000,"STALPRODUKT_SA"
2019-12-30,181.6,5580267,1013376487.2,3816269000,154488000,27.6846968075183,3027353000,542.510421096338,215.374999081585,1201850000,-108508000,-19.4449477059073,4345081000,2758025000,1317877000,1150515000,203708000,22838000,35572000,"STALPRODUKT_SA"
2020-12-30,300.5,5580267,1676870233.5,3321050000,183776000,32.9331911895972,3015874000,540.453351067252,124.493684621184,694708000,-897788000,-160.886208491457,4360350000,2913187000,1160900000,1447163000,196084000,18302000,2777000,"STALPRODUKT_SA"
2021-12-30,263.5,5580267,1470400354.5,4674169000,528729000,94.7497673498419,3549160000,636.019746008569,238.835166847751,1332764000,-863283000,-154.702812607354,4841895000,3371213000,1548534000,1470682000,633247000,31013000,36094000,"STALPRODUKT_SA"
